cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3993,Hounslow
2,Burglary,4569,Hounslow
3,Drug Offences,2575,Hounslow
4,Miscellaneous Crimes Against Society,796,Hounslow
5,Possession of Weapons,425,Hounslow
6,Public Order Offences,3190,Hounslow
7,Robbery,1190,Hounslow
8,Sexual Offences,1142,Hounslow
9,Theft,11159,Hounslow
10,Vehicle Offences,7900,Hounslow
11,Violence Against the Person,13959,Hounslow
