cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,5557,Croydon
2,Burglary,5576,Croydon
3,Drug Offences,3429,Croydon
4,Miscellaneous Crimes Against Society,866,Croydon
5,Possession of Weapons,791,Croydon
6,Public Order Offences,3781,Croydon
7,Robbery,2238,Croydon
8,Sexual Offences,1940,Croydon
9,Theft,11673,Croydon
10,Vehicle Offences,8036,Croydon
11,Violence Against the Person,18030,Croydon
