cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4095,Haringey
2,Burglary,5682,Haringey
3,Drug Offences,2783,Haringey
4,Miscellaneous Crimes Against Society,713,Haringey
5,Possession of Weapons,669,Haringey
6,Public Order Offences,3528,Haringey
7,Robbery,3817,Haringey
8,Sexual Offences,1448,Haringey
9,Theft,14541,Haringey
10,Vehicle Offences,9128,Haringey
11,Violence Against the Person,15491,Haringey
