cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4695,Southwark
2,Burglary,6334,Southwark
3,Drug Offences,4037,Southwark
4,Miscellaneous Crimes Against Society,742,Southwark
5,Possession of Weapons,902,Southwark
6,Public Order Offences,3843,Southwark
7,Robbery,3644,Southwark
8,Sexual Offences,1777,Southwark
9,Theft,20818,Southwark
10,Vehicle Offences,6957,Southwark
11,Violence Against the Person,16802,Southwark
