cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4280,Enfield
2,Burglary,5747,Enfield
3,Drug Offences,1995,Enfield
4,Miscellaneous Crimes Against Society,807,Enfield
5,Possession of Weapons,512,Enfield
6,Public Order Offences,2737,Enfield
7,Robbery,2320,Enfield
8,Sexual Offences,1249,Enfield
9,Theft,10738,Enfield
10,Vehicle Offences,10076,Enfield
11,Violence Against the Person,13841,Enfield
