cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3203,Bexley
2,Burglary,3098,Bexley
3,Drug Offences,1143,Bexley
4,Miscellaneous Crimes Against Society,449,Bexley
5,Possession of Weapons,222,Bexley
6,Public Order Offences,1947,Bexley
7,Robbery,647,Bexley
8,Sexual Offences,806,Bexley
9,Theft,5967,Bexley
10,Vehicle Offences,4625,Bexley
11,Violence Against the Person,8663,Bexley
