cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4401,Tower Hamlets
2,Burglary,6157,Tower Hamlets
3,Drug Offences,3819,Tower Hamlets
4,Miscellaneous Crimes Against Society,772,Tower Hamlets
5,Possession of Weapons,679,Tower Hamlets
6,Public Order Offences,4531,Tower Hamlets
7,Robbery,3065,Tower Hamlets
8,Sexual Offences,1539,Tower Hamlets
9,Theft,17466,Tower Hamlets
10,Vehicle Offences,7111,Tower Hamlets
11,Violence Against the Person,16658,Tower Hamlets
