cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3503,Camden
2,Burglary,6604,Camden
3,Drug Offences,2606,Camden
4,Miscellaneous Crimes Against Society,504,Camden
5,Possession of Weapons,450,Camden
6,Public Order Offences,3725,Camden
7,Robbery,3850,Camden
8,Sexual Offences,1482,Camden
9,Theft,31676,Camden
10,Vehicle Offences,6862,Camden
11,Violence Against the Person,13431,Camden
