cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4462,Hillingdon
2,Burglary,4477,Hillingdon
3,Drug Offences,1756,Hillingdon
4,Miscellaneous Crimes Against Society,600,Hillingdon
5,Possession of Weapons,383,Hillingdon
6,Public Order Offences,3159,Hillingdon
7,Robbery,1177,Hillingdon
8,Sexual Offences,1100,Hillingdon
9,Theft,10814,Hillingdon
10,Vehicle Offences,9035,Hillingdon
11,Violence Against the Person,13363,Hillingdon
