cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3202,Havering
2,Burglary,4192,Havering
3,Drug Offences,1076,Havering
4,Miscellaneous Crimes Against Society,538,Havering
5,Possession of Weapons,320,Havering
6,Public Order Offences,2192,Havering
7,Robbery,1359,Havering
8,Sexual Offences,936,Havering
9,Theft,7864,Havering
10,Vehicle Offences,5668,Havering
11,Violence Against the Person,10457,Havering
