cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3297,Redbridge
2,Burglary,5824,Redbridge
3,Drug Offences,1433,Redbridge
4,Miscellaneous Crimes Against Society,484,Redbridge
5,Possession of Weapons,331,Redbridge
6,Public Order Offences,2417,Redbridge
7,Robbery,2049,Redbridge
8,Sexual Offences,1093,Redbridge
9,Theft,9487,Redbridge
10,Vehicle Offences,8869,Redbridge
11,Violence Against the Person,12141,Redbridge
