cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,2337,Sutton
2,Burglary,2351,Sutton
3,Drug Offences,786,Sutton
4,Miscellaneous Crimes Against Society,358,Sutton
5,Possession of Weapons,192,Sutton
6,Public Order Offences,1619,Sutton
7,Robbery,595,Sutton
8,Sexual Offences,715,Sutton
9,Theft,4778,Sutton
10,Vehicle Offences,3533,Sutton
11,Violence Against the Person,7272,Sutton
