cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4417,Lewisham
2,Burglary,4974,Lewisham
3,Drug Offences,2537,Lewisham
4,Miscellaneous Crimes Against Society,736,Lewisham
5,Possession of Weapons,610,Lewisham
6,Public Order Offences,3200,Lewisham
7,Robbery,2114,Lewisham
8,Sexual Offences,1447,Lewisham
9,Theft,9956,Lewisham
10,Vehicle Offences,6400,Lewisham
11,Violence Against the Person,15334,Lewisham
