cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4451,Ealing
2,Burglary,5160,Ealing
3,Drug Offences,2594,Ealing
4,Miscellaneous Crimes Against Society,715,Ealing
5,Possession of Weapons,478,Ealing
6,Public Order Offences,3961,Ealing
7,Robbery,1847,Ealing
8,Sexual Offences,1331,Ealing
9,Theft,12256,Ealing
10,Vehicle Offences,8239,Ealing
11,Violence Against the Person,16213,Ealing
