cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3420,Islington
2,Burglary,5928,Islington
3,Drug Offences,2685,Islington
4,Miscellaneous Crimes Against Society,616,Islington
5,Possession of Weapons,498,Islington
6,Public Order Offences,3474,Islington
7,Robbery,3388,Islington
8,Sexual Offences,1321,Islington
9,Theft,21545,Islington
10,Vehicle Offences,5959,Islington
11,Violence Against the Person,12818,Islington
