cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,2158,Harrow
2,Burglary,3995,Harrow
3,Drug Offences,1155,Harrow
4,Miscellaneous Crimes Against Society,357,Harrow
5,Possession of Weapons,224,Harrow
6,Public Order Offences,1640,Harrow
7,Robbery,762,Harrow
8,Sexual Offences,707,Harrow
9,Theft,5943,Harrow
10,Vehicle Offences,4117,Harrow
11,Violence Against the Person,8440,Harrow
