cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3787,Hackney
2,Burglary,6299,Hackney
3,Drug Offences,2755,Hackney
4,Miscellaneous Crimes Against Society,626,Hackney
5,Possession of Weapons,667,Hackney
6,Public Order Offences,3621,Hackney
7,Robbery,3126,Hackney
8,Sexual Offences,1570,Hackney
9,Theft,18841,Hackney
10,Vehicle Offences,6673,Hackney
11,Violence Against the Person,15343,Hackney
