cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3450,Waltham Forest
2,Burglary,4533,Waltham Forest
3,Drug Offences,2117,Waltham Forest
4,Miscellaneous Crimes Against Society,564,Waltham Forest
5,Possession of Weapons,504,Waltham Forest
6,Public Order Offences,2565,Waltham Forest
7,Robbery,1835,Waltham Forest
8,Sexual Offences,1097,Waltham Forest
9,Theft,10138,Waltham Forest
10,Vehicle Offences,7472,Waltham Forest
11,Violence Against the Person,12504,Waltham Forest
