cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,2350,Merton
2,Burglary,3000,Merton
3,Drug Offences,1077,Merton
4,Miscellaneous Crimes Against Society,376,Merton
5,Possession of Weapons,234,Merton
6,Public Order Offences,1737,Merton
7,Robbery,762,Merton
8,Sexual Offences,719,Merton
9,Theft,6345,Merton
10,Vehicle Offences,3777,Merton
11,Violence Against the Person,7294,Merton
