cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4536,Westminster
2,Burglary,7974,Westminster
3,Drug Offences,4244,Westminster
4,Miscellaneous Crimes Against Society,894,Westminster
5,Possession of Weapons,92,Westminster
6,Public Order Offences,6568,Westminster
7,Robbery,5977,Westminster
8,Sexual Offences,2324,Westminster
9,Theft,62511,Westminster
10,Vehicle Offences,8768,Westminster
11,Violence Against the Person,20306,Westminster
