cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4602,Newham
2,Burglary,4740,Newham
3,Drug Offences,4248,Newham
4,Miscellaneous Crimes Against Society,939,Newham
5,Possession of Weapons,802,Newham
6,Public Order Offences,3458,Newham
7,Robbery,3901,Newham
8,Sexual Offences,1871,Newham
9,Theft,18431,Newham
10,Vehicle Offences,10038,Newham
11,Violence Against the Person,17965,Newham
