cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4324,Brent
2,Burglary,6097,Brent
3,Drug Offences,3434,Brent
4,Miscellaneous Crimes Against Society,744,Brent
5,Possession of Weapons,566,Brent
6,Public Order Offences,3608,Brent
7,Robbery,2812,Brent
8,Sexual Offences,1390,Brent
9,Theft,12466,Brent
10,Vehicle Offences,8393,Brent
11,Violence Against the Person,17129,Brent
