cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4525,Greenwich
2,Burglary,4688,Greenwich
3,Drug Offences,1810,Greenwich
4,Miscellaneous Crimes Against Society,893,Greenwich
5,Possession of Weapons,443,Greenwich
6,Public Order Offences,3314,Greenwich
7,Robbery,1317,Greenwich
8,Sexual Offences,1451,Greenwich
9,Theft,10895,Greenwich
10,Vehicle Offences,6889,Greenwich
11,Violence Against the Person,15719,Greenwich
