cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4015,Barnet
2,Burglary,7311,Barnet
3,Drug Offences,1506,Barnet
4,Miscellaneous Crimes Against Society,673,Brent
5,Possession of Weapons,378,Barnet
6,Public Order Offences,3339,Barnet
7,Robbery,1520,Barnet
8,Sexual Offences,1279,Barnet
9,Theft,13308,Barnet
10,Vehicle Offences,9657,Barnet
11,Violence Against the Person,13706,Barnet
