cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3640,Wandsworth
2,Burglary,5273,Wandsworth
3,Drug Offences,1593,Wandsworth
4,Miscellaneous Crimes Against Society,637,Wandsworth
5,Possession of Weapons,400,Wandsworth
6,Public Order Offences,3036,Wandsworth
7,Robbery,1670,Wandsworth
8,Sexual Offences,1433,Wandsworth
9,Theft,13038,Wandsworth
10,Vehicle Offences,7986,Wandsworth
11,Violence Against the Person,12954,Wandsworth
