cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,4278,Bromley
2,Burglary,5212,Bromley
3,Drug Offences,1405,Bromley
4,Miscellaneous Crimes Against Society,602,Bromley
5,Possession of Weapons,421,Bromley
6,Public Order Offences,2941,Bromley
7,Robbery,1076,Bromley
8,Sexual Offences,1122,Bromley
9,Theft,10441,Bromley
10,Vehicle Offences,6919,Bromley
11,Violence Against the Person,11902,Bromley
